day,Age,Location,Gender,Student,Employed,Unemployed,Marital_status,Restaurant
7,15,0,0,0,0,1,1,196
3,15,0,0,0,0,1,1,196
6,15,0,1,0,0,1,1,196
4,15,0,0,1,0,0,1,196
5,15,0,0,0,0,1,1,196
6,15,0,0,0,0,1,0,195
1,15,0,0,0,0,1,0,195
6,15,0,0,0,0,1,0,195
4,15,0,1,0,0,1,0,195
4,15,0,0,0,0,1,1,195
3,15,0,0,0,0,1,1,195
3,15,0,0,0,0,1,1,195
2,15,0,0,0,0,1,0,195
7,15,0,0,0,0,1,1,195
7,15,0,0,0,0,1,1,195
2,15,0,0,0,0,1,1,195
4,15,0,1,0,0,1,1,195
5,15,0,0,0,0,1,0,195
1,15,0,1,0,0,1,0,194
5,15,0,1,0,0,1,0,194
2,15,0,0,0,0,1,1,194
2,15,0,0,1,0,0,0,194
7,15,0,1,0,0,1,1,194
5,15,0,1,0,0,1,1,194
4,15,0,1,0,0,1,1,194
7,15,0,0,0,0,1,1,194
5,15,0,0,0,0,1,0,194
6,15,0,1,0,0,1,1,194
2,15,0,0,0,0,1,1,194
2,15,0,0,0,0,1,1,194
4,15,0,1,0,0,1,1,194
3,15,0,0,0,0,1,0,193
6,15,0,1,0,0,1,1,193
3,15,0,1,0,0,1,1,193
4,15,0,1,0,0,1,1,193
5,15,0,0,1,0,0,0,193
3,15,0,1,0,0,1,1,193
1,15,0,0,0,0,1,1,193
2,15,0,1,0,0,1,0,193
2,15,0,0,0,0,1,0,193
6,15,0,1,0,0,1,1,193
7,15,0,1,0,0,1,1,193
1,15,0,0,0,0,1,1,193
5,15,0,0,0,0,1,0,193
2,15,0,0,0,0,1,0,192
3,15,0,0,0,0,1,0,192
5,15,0,1,0,0,1,0,192
5,15,0,0,0,0,1,0,192
6,15,0,0,0,0,1,1,192
5,15,0,0,0,0,1,1,192
3,15,0,1,0,0,1,1,192
5,15,0,1,0,0,1,1,192
6,15,0,1,0,0,1,1,192
5,15,0,1,0,0,1,0,192
4,15,0,0,0,0,1,0,192
6,15,0,1,0,0,1,1,192
5,15,0,1,0,0,1,1,192
3,15,0,0,0,0,1,1,191
7,15,0,1,0,0,1,1,191
4,15,0,0,0,0,1,1,191
3,15,0,0,0,0,1,0,191
3,15,0,0,0,0,1,1,191
1,15,0,0,0,0,1,1,191
7,15,0,1,0,0,1,1,191
1,15,0,1,1,0,0,0,191
3,15,0,1,0,0,1,1,191
7,15,0,0,0,0,1,1,191
2,15,0,1,0,0,1,0,191
5,15,0,0,0,0,1,0,191
6,15,0,0,0,0,1,1,191
5,15,0,0,0,0,1,1,190
7,15,0,1,0,0,1,1,190
7,15,0,1,0,0,1,0,190
2,15,0,1,0,0,1,1,190
7,15,0,0,0,0,1,0,190
5,15,0,0,0,0,1,1,190
4,15,0,1,1,0,0,1,190
7,15,0,0,0,0,1,0,190
6,15,0,1,0,0,1,1,190
7,15,0,1,0,0,1,1,190
2,15,0,1,0,0,1,1,190
4,15,0,0,0,0,1,1,190
5,15,0,1,0,0,1,0,190
1,15,0,0,0,0,1,0,189
3,15,0,0,0,0,1,0,189
4,15,0,1,0,0,1,1,189
4,15,0,1,0,0,1,0,189
6,15,0,1,0,0,1,1,189
3,15,0,1,0,0,1,0,189
5,15,0,0,0,0,1,0,189
6,15,0,0,0,0,1,1,189
2,15,0,1,0,0,1,0,189
2,15,0,0,1,0,0,1,189
6,15,0,0,0,0,1,0,189
7,15,0,0,0,0,1,1,189
5,15,0,0,0,0,1,0,189
6,15,0,0,0,0,1,1,189
7,15,0,1,0,0,1,1,188
7,15,0,0,0,0,1,0,188
2,15,0,1,0,0,1,1,188
3,15,0,1,0,0,1,1,188
3,15,0,1,1,0,0,1,188
4,15,0,1,0,0,1,0,188
4,15,0,0,0,0,1,0,188
5,15,0,0,0,0,1,1,188
4,15,0,1,0,0,1,1,188
3,15,0,1,0,0,1,1,188
7,15,0,0,0,0,1,0,188
2,15,0,1,0,0,1,1,188
1,15,0,1,0,0,1,0,188
2,15,0,0,0,0,1,0,187
7,15,0,1,0,0,1,1,187
7,15,0,0,0,0,1,1,187
6,15,0,1,0,0,1,1,187
2,15,0,0,0,0,1,1,187
2,15,0,0,0,0,1,0,187
2,15,0,1,0,0,1,0,187
7,15,0,0,0,0,1,0,187
2,15,0,0,0,0,1,0,187
3,15,0,1,0,0,1,1,187
7,16,0,0,0,0,1,1,187
5,16,0,0,0,0,1,1,187
4,16,0,1,0,0,1,1,187
1,16,0,1,0,0,1,1,186
3,16,0,0,0,0,1,0,186
2,16,0,0,0,0,1,0,186
4,16,0,1,1,0,0,0,186
4,16,0,1,1,0,0,0,186
6,16,0,0,0,0,1,1,186
1,16,0,0,0,0,1,0,186
2,16,0,0,0,0,1,0,186
2,16,0,0,0,0,1,1,186
3,16,0,0,0,0,1,0,186
3,16,0,1,0,0,1,1,186
2,16,0,0,1,0,0,0,186
1,16,0,0,0,0,1,0,186
5,16,0,0,0,0,1,1,185
7,16,0,1,0,0,1,0,185
2,16,0,0,0,0,1,0,185
6,16,0,1,0,0,1,1,185
2,16,0,1,0,0,1,1,185
6,16,0,0,0,0,1,0,185
1,16,0,0,0,0,1,0,185
5,16,0,1,0,0,1,0,185
4,16,0,1,0,0,1,1,185
4,16,0,1,0,0,1,1,185
6,16,0,1,0,0,1,1,185
2,16,0,1,0,0,1,0,185
4,16,0,0,0,0,1,0,185
3,16,0,0,0,0,1,0,185
7,16,0,0,0,0,1,0,184
7,16,0,0,0,0,1,0,184
7,16,0,1,0,0,1,1,184
3,16,0,0,0,0,1,1,184
7,16,0,0,0,0,1,0,184
3,16,0,0,0,0,1,0,184
7,16,0,0,0,0,1,1,184
6,16,0,0,0,0,1,0,184
6,16,0,0,0,0,1,1,184
7,16,0,0,0,0,1,1,184
1,16,0,0,0,0,1,0,184
2,16,0,0,0,0,1,1,184
2,16,0,1,1,0,0,1,184
3,16,0,0,0,0,1,1,183
7,16,0,0,0,0,1,0,183
5,16,0,1,0,0,1,1,183
7,16,0,1,0,0,1,0,183
7,16,0,0,0,0,1,1,183
7,16,0,0,0,0,1,1,183
2,16,0,1,0,0,1,1,183
7,16,0,0,0,0,1,1,183
1,16,0,1,0,0,1,1,183
4,16,0,1,0,0,1,0,183
5,16,0,0,1,0,0,0,183
5,16,0,0,0,0,1,1,183
6,16,0,0,0,0,1,0,183
